,YEAR,PERIOD,SEND DATE,ENTITY CODE,ENTITY,LINE CODE,INTERVENTION LINE,SERVICE CODE,SERVICE NAME,UBIGEO,DEPARTMENT,PROVINCE,DISTRICT,CARE CENTER CODE,CARE CENTER NAME,EMC NO.,NO OF INFORMED AND SENSITIZED PEOPLE - TOTAL,NO OF INFORMED AND SENSITIZED PEOPLE - MEN,NO OF INFORMED AND SENSITIZED PEOPLE - WOMEN,NO OF INFORMED AND SENSITIZED PEOPLE - 0_5 - TOTAL,NO OF INFORMED AND SENSITIZED PEOPLE - 0_5 - MEN,NO OF INFORMED AND SENSITIZED PEOPLE - 0_5 - WOMEN,NO OF INFORMED AND SENSITIZED PEOPLE - 6_11 - TOTAL,NO OF INFORMED AND SENSITIZED PEOPLE - 6_11 - MEN,NO OF INFORMED AND SENSITIZED PEOPLE - 6_11 - WOMEN,NO OF INFORMED AND SENSITIZED PEOPLE - 12_17 - TOTAL,NO OF INFORMED AND SENSITIZED PEOPLE - 12_17 - MEN,NO OF INFORMED AND SENSITIZED PEOPLE - 12_17 - WOMEN,NO OF INFORMED AND SENSITIZED PEOPLE - 18_29 - TOTAL,NO OF INFORMED AND SENSITIZED PEOPLE - 18_29 - MEN,NO OF INFORMED AND SENSITIZED PEOPLE - 18_29 - WOMEN,NO OF INFORMED AND SENSITIZED PEOPLE - 30_59 - TOTAL,NO OF INFORMED AND SENSITIZED PEOPLE - 30_59 - MEN,NO OF INFORMED AND SENSITIZED PEOPLE - 30_59 - WOMEN,NO OF INFORMED AND SENSITIZED PEOPLE - 60_MORE - TOTAL,NO OF INFORMED AND SENSITIVE PEOPLE - 60_MORE - MEN,NO OF INFORMED AND SENSITIZED PEOPLE - 60_MORE - WOMEN,NO OF PROMOTIONAL PREVENTIVE ACTIONS - TOTAL
1351,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,COM018,COMISARÃA LAURA CALLER,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1352,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,COM019,COMISARÃA SAN MARTIN DE PORRES,1.0,0.0,913.0,0.0,150.0,69.0,81.0,413.0,212.0,201.0,510.0,278.0,232.0,301.0,79.0,222.0,679.0,244.0,435.0,66.0,31.0,35.0,43.0
1353,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,COM020,COMISARÃA SAN PEDRO DE CARABAYLLO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1355,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150110,LIMA METROPOLITANA,LIMA,COMAS,COM022,COMISARÃA DE FAMILIA COLLIQUE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1361,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,COM028,COMISARÃA SANTA ANITA,1.0,601.0,212.0,389.0,0.0,0.0,0.0,10.0,3.0,7.0,150.0,59.0,91.0,105.0,37.0,68.0,230.0,70.0,160.0,106.0,43.0,63.0,14.0
1367,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150121,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,COM034,COMISARÃA PUEBLO LIBRE,1.0,0.0,412.0,879.0,0.0,0.0,0.0,365.0,190.0,175.0,449.0,21.0,428.0,140.0,58.0,82.0,305.0,132.0,173.0,32.0,11.0,21.0,30.0
1369,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150119,LIMA METROPOLITANA,LIMA,LIMA,COM036,COMISARÃA LURÃN,1.0,0.0,564.0,644.0,0.0,0.0,0.0,60.0,20.0,40.0,556.0,287.0,269.0,190.0,96.0,94.0,376.0,146.0,230.0,26.0,15.0,11.0,24.0
1370,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150130,LIMA METROPOLITANA,LIMA,SAN BORJA,COM037,COMISARÃA SAN BORJA,1.0,781.0,293.0,488.0,0.0,0.0,0.0,38.0,13.0,25.0,255.0,108.0,147.0,38.0,11.0,27.0,377.0,143.0,234.0,73.0,18.0,55.0,31.0
1372,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150605,LIMA PROVINCIAS,HUARAL,CHANCAY,COM039,CHANCAY,1.0,130.0,61.0,69.0,0.0,0.0,0.0,61.0,61.0,0.0,69.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1376,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150103,LIMA METROPOLITANA,LIMA,ATE,COM043,VITARTE,1.0,252.0,102.0,150.0,0.0,0.0,0.0,11.0,6.0,5.0,179.0,73.0,106.0,12.0,4.0,8.0,47.0,17.0,30.0,3.0,2.0,1.0,3.0
1379,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,COM046,CONDEVILLA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1380,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150801,LIMA PROVINCIAS,HUAURA,HUACHO,COM047,HUACHO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1381,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150716,LIMA PROVINCIAS,HUAROCHIRI,SAN ANTONIO,COM048,JICAMARCA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1383,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150103,LIMA METROPOLITANA,LIMA,ATE,COM050,SANTA CLARA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1387,2017,ENE - DIC,16/01/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150101,LIMA METROPOLITANA,LIMA,LIMA,SED001,,0.0,0.0,0.0,0.0,12.0,8.0,4.0,557.0,234.0,323.0,0.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,324.0,668.0,276.0
1400,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150507,LIMA PROVINCIA,CAÃETE,IMPERIAL,CEM013,CEM IMPERIAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,504.0,801.0,0.0,565.0,0.0,488.0,198.0,290.0,124.0
1401,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,CEM014,CEM CARABAYLLO,1.0,0.0,0.0,0.0,0.0,846.0,842.0,474.0,220.0,254.0,0.0,759.0,0.0,540.0,103.0,437.0,0.0,313.0,0.0,226.0,17.0,209.0,270.0
1416,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150110,LIMA METROPOLITANA,LIMA,COMAS,CEM029,CEM COMAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,64.0,42.0,0.0,0.0,0.0,613.0,173.0,440.0,0.0,626.0,0.0,274.0,93.0,181.0,311.0
1419,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150111,LIMA METROPOLITANA,LIMA,EL AGUSTINO,CEM032,CEM EL AGUSTINO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,945.0,432.0,513.0,0.0,793.0,978.0,131.0,51.0,80.0,0.0,379.0,0.0,188.0,10.0,178.0,267.0
1422,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150801,LIMA PROVINCIA,HUAURA,HUACHO,CEM035,CEM HUACHO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,218.0,204.0,0.0,940.0,0.0,0.0,732.0,0.0,0.0,661.0,0.0,464.0,144.0,320.0,216.0
1431,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150701,LIMA PROVINCIA,HUAROCHIRÃ,MATUCANA,CEM044,CEM HUAROCHIRI,1.0,0.0,0.0,0.0,456.0,232.0,224.0,787.0,391.0,396.0,0.0,0.0,0.0,939.0,98.0,841.0,0.0,515.0,0.0,434.0,151.0,283.0,196.0
1432,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150103,LIMA METROPOLITANA,LIMA,ATE,CEM045,CEM HUAYCAN,1.0,0.0,0.0,0.0,550.0,268.0,282.0,78.0,40.0,38.0,0.0,751.0,919.0,839.0,256.0,583.0,0.0,511.0,0.0,228.0,6.0,222.0,79.0
1437,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,CEM050,CEM INDEPENDENCIA,1.0,0.0,0.0,0.0,0.0,471.0,546.0,563.0,273.0,290.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,981.0,0.0,789.0,254.0,535.0,314.0
1445,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150134,LIMA METROPOLITANA,LIMA,SAN LUIS,CEM058,CEM SAN LUIS,1.0,0.0,0.0,0.0,838.0,416.0,422.0,601.0,263.0,338.0,0.0,744.0,914.0,797.0,287.0,510.0,0.0,439.0,0.0,242.0,41.0,201.0,193.0
1447,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150101,LIMA METROPOLITANA,LIMA,LIMA,CEM060,CEM LIMA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,55.0,42.0,900.0,87.0,813.0,997.0,306.0,691.0,0.0,732.0,0.0,476.0,109.0,367.0,198.0
1448,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,CEM061,CEM LOS OLIVOS,1.0,0.0,0.0,0.0,296.0,131.0,165.0,15.0,5.0,10.0,0.0,488.0,803.0,0.0,533.0,810.0,0.0,715.0,0.0,260.0,60.0,200.0,185.0
1451,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150123,LIMA METROPOLITANA,LIMA,PACHACÃMAC,CEM064,CEM MANCHAY,1.0,0.0,0.0,0.0,636.0,314.0,322.0,0.0,917.0,937.0,0.0,0.0,0.0,489.0,162.0,327.0,0.0,299.0,0.0,143.0,53.0,90.0,172.0
1463,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,CEM076,CEM SAN JUAN DE MIRAFLORES,1.0,0.0,0.0,0.0,0.0,545.0,559.0,962.0,483.0,479.0,0.0,0.0,0.0,129.0,61.0,68.0,0.0,0.0,0.0,55.0,11.0,44.0,263.0
1474,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150114,LIMA METROPOLITANA,LIMA,LA MOLINA,CEM087,CEM LA MOLINA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,863.0,417.0,446.0,0.0,0.0,0.0,0.0,425.0,722.0,0.0,0.0,0.0,243.0,76.0,167.0,290.0
1475,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,CEM088,CEM SAN JUAN DE LURIGANCHO,1.0,0.0,0.0,0.0,0.0,790.0,720.0,969.0,501.0,468.0,0.0,0.0,0.0,0.0,489.0,0.0,0.0,0.0,0.0,615.0,178.0,437.0,468.0
1476,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150135,LIMA METROPOLITANA,LIMA,SAN MARTÃN DE PORRES,CEM089,CEM SAN MARTIN DE PORRES,1.0,0.0,0.0,0.0,540.0,258.0,282.0,0.0,658.0,665.0,0.0,0.0,0.0,951.0,453.0,498.0,0.0,944.0,0.0,0.0,0.0,0.0,261.0
1483,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,CEM096,CEM SURCO,1.0,0.0,0.0,0.0,0.0,987.0,862.0,23.0,12.0,11.0,0.0,0.0,0.0,0.0,433.0,919.0,0.0,615.0,0.0,397.0,85.0,312.0,215.0
1484,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150141,LIMA METROPOLITANA,LIMA,SURQUILLO,CEM097,CEM SURQUILLO,1.0,0.0,0.0,0.0,973.0,476.0,497.0,660.0,306.0,354.0,0.0,0.0,0.0,901.0,285.0,616.0,0.0,909.0,0.0,323.0,109.0,214.0,240.0
1496,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,CEM109,CEM VILLA EL SALVADOR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,402.0,390.0,0.0,831.0,909.0,0.0,763.0,0.0,0.0,0.0,0.0,0.0,228.0,776.0,409.0
1497,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150143,LIMA METROPOLITANA,LIMA,VILLA MARÃA DEL TRIUNFO,CEM110,CEM VILLA MARIA DEL TRIUNFO,1.0,0.0,0.0,0.0,0.0,705.0,677.0,786.0,388.0,398.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,529.0,184.0,345.0,521.0
1500,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,151001,LIMA PROVINCIA,YAUYOS,YAUYOS,CEM113,CEM YAUYOS,1.0,0.0,588.0,0.0,62.0,34.0,28.0,263.0,128.0,135.0,376.0,187.0,189.0,235.0,58.0,177.0,757.0,160.0,597.0,57.0,21.0,36.0,135.0
1509,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150125,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,CEM122,CEM PUENTE PIEDRA,1.0,0.0,0.0,0.0,0.0,932.0,902.0,963.0,467.0,496.0,0.0,854.0,0.0,0.0,0.0,484.0,0.0,290.0,0.0,249.0,39.0,210.0,288.0
1511,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150601,LIMA PROVINCIA,HUARAL,HUARAL,CEM124,CEM HUARAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,354.0,353.0,0.0,740.0,764.0,0.0,538.0,887.0,0.0,855.0,0.0,389.0,135.0,254.0,169.0
1532,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150128,LIMA METROPOLITANA,LIMA,RÃMAC,CEM145,CEM RÃMAC,1.0,0.0,0.0,0.0,460.0,204.0,256.0,801.0,424.0,377.0,0.0,0.0,0.0,0.0,702.0,0.0,0.0,854.0,0.0,614.0,132.0,482.0,370.0
1542,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150201,LIMA PROVINCIA,BARRANCA,BARRANCA,CEM155,CEM BARRANCA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,86.0,83.0,0.0,0.0,0.0,927.0,346.0,581.0,0.0,0.0,0.0,439.0,179.0,260.0,183.0
1594,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150901,LIMA PROVINCIA,OYÃN,OYÃN,CEM207,CEM OYON,1.0,0.0,0.0,0.0,72.0,36.0,36.0,0.0,0.0,0.0,738.0,365.0,373.0,118.0,13.0,105.0,0.0,651.0,0.0,52.0,22.0,30.0,70.0
1597,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150139,LIMA METROPOLITANA,LIMA,SANTA ROSA,CEM210,CEM SANTA ROSA,1.0,0.0,0.0,0.0,0.0,610.0,671.0,248.0,124.0,124.0,0.0,524.0,677.0,708.0,115.0,593.0,0.0,606.0,0.0,108.0,45.0,63.0,327.0
1601,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150401,LIMA PROVINCIA,CANTA,CANTA,CEM214,CEM CANTA,1.0,0.0,0.0,0.0,85.0,32.0,53.0,0.0,572.0,553.0,0.0,543.0,576.0,576.0,185.0,391.0,0.0,366.0,904.0,194.0,83.0,111.0,136.0
1605,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150301,LIMA PROVINCIA,CAJATAMBO,CAJATAMBO,CEM218,CEM CAJATAMBO,1.0,0.0,953.0,0.0,18.0,9.0,9.0,519.0,263.0,256.0,597.0,312.0,285.0,268.0,50.0,218.0,872.0,241.0,631.0,205.0,78.0,127.0,79.0
1610,2018,ENE - DIC,31/12/2018,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN001,ATENCIÃN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150118,LIMA METROPOLITANA,LIMA,LURIGANCHO,CEM223,CEM CHOSICA,1.0,0.0,0.0,0.0,0.0,0.0,984.0,358.0,181.0,177.0,0.0,0.0,0.0,538.0,184.0,354.0,0.0,597.0,0.0,191.0,78.0,113.0,205.0
